,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
5403,Brugge,HOUSE,EXCEPTIONAL_PROPERTY,588000.0,2.0,156.0,INSTALLED,0,0.0,1,11.0,0,0.0,0.0,3.0,0,GOOD
5404,Wevelgem,HOUSE,HOUSE,279000.0,4.0,180.0,USA_HYPER_EQUIPPED,0,0.0,1,20.0,1,205.0,319.0,2.0,0,TO_BE_DONE_UP
5405,Messancy,HOUSE,HOUSE,299000.0,3.0,189.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,880.0,3.0,0,TO_RENOVATE
5406,OPONT,HOUSE,HOUSE,309900.0,3.0,150.0,INSTALLED,0,0.0,0,0.0,0,0.0,865.0,4.0,0,TO_BE_DONE_UP
5407,Saint-Josse-ten-Noode,HOUSE,HOUSE,460000.0,4.0,320.0,NOT_INSTALLED,0,0.0,1,10.0,0,0.0,80.0,2.0,0,GOOD
5408,Wavre,HOUSE,VILLA,500000.0,5.0,145.0,HYPER_EQUIPPED,0,1.0,1,25.0,1,650.0,858.0,4.0,0,AS_NEW
5409,Evergem,HOUSE,VILLA,550000.0,4.0,302.0,INSTALLED,0,0.0,1,0.0,1,0.0,1269.0,4.0,0,UNKNOWN
5410,Aubange,HOUSE,HOUSE,290000.0,3.0,113.0,INSTALLED,0,0.0,0,0.0,0,0.0,0.0,3.0,0,GOOD
5411,Saint-Ghislain Tertre,HOUSE,MANSION,310000.0,6.0,355.0,USA_INSTALLED,0,0.0,1,25.0,1,1250.0,1435.0,4.0,0,GOOD
5412,Ath,HOUSE,HOUSE,375000.0,3.0,180.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,1634.0,0.0,0,TO_BE_DONE_UP
5413,Watermael-Boitsfort,HOUSE,HOUSE,585000.0,3.0,170.0,INSTALLED,0,0.0,1,23.0,0,0.0,70.0,2.0,0,UNKNOWN
5414,Woluwe-St-Pierre,HOUSE,HOUSE,925000.0,4.0,215.0,HYPER_EQUIPPED,0,1.0,1,0.0,1,218.0,218.0,2.0,0,AS_NEW
5415,SAINT-GEORGES-SUR-MEUSE,HOUSE,HOUSE,40000.0,2.0,120.0,INSTALLED,0,0.0,1,0.0,1,0.0,1081.0,4.0,0,GOOD
5416,Aiseau-Presles,HOUSE,HOUSE,40000.0,2.0,100.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,520.0,4.0,0,GOOD
5417,Ougrée,HOUSE,HOUSE,85000.0,2.0,100.0,NOT_INSTALLED,0,0.0,1,3.0,1,0.0,0.0,3.0,0,TO_RENOVATE
5418,Sprimont,HOUSE,CHALET,89000.0,1.0,42.0,USA_SEMI_EQUIPPED,0,0.0,1,25.0,1,40.0,184.0,4.0,0,TO_BE_DONE_UP
5419,Liège,HOUSE,HOUSE,90000.0,2.0,131.0,NOT_INSTALLED,0,0.0,0,0.0,1,40.0,98.0,3.0,0,TO_RENOVATE
5420,Quaregnon,HOUSE,HOUSE,99000.0,2.0,85.0,INSTALLED,0,0.0,1,15.0,1,85.0,180.0,2.0,0,TO_BE_DONE_UP
5421,Monceau-sur-Sambre,HOUSE,HOUSE,105000.0,2.0,110.0,NOT_INSTALLED,0,0.0,1,35.0,0,0.0,85.0,2.0,0,TO_BE_DONE_UP
5422,AMPSIN,HOUSE,HOUSE,115000.0,2.0,90.0,NOT_INSTALLED,0,0.0,1,80.0,1,1250.0,1539.0,3.0,0,TO_RENOVATE
5423,Trooz,HOUSE,HOUSE,129000.0,3.0,90.0,NOT_INSTALLED,0,0.0,0,0.0,1,60.0,330.0,3.0,0,TO_RENOVATE
5424,Couillet,HOUSE,HOUSE,129000.0,5.0,179.0,NOT_INSTALLED,0,0.0,1,21.0,1,137.0,240.0,2.0,0,TO_RENOVATE
5425,Destelbergen,APARTMENT,GROUND_FLOOR,339150.0,2.0,107.0,USA_HYPER_EQUIPPED,0,0.0,0,0.0,1,38.0,0.0,2.0,0,AS_NEW
5426,Destelbergen,APARTMENT,GROUND_FLOOR,363800.0,2.0,113.0,USA_HYPER_EQUIPPED,0,0.0,0,0.0,1,70.0,0.0,2.0,0,AS_NEW
5427,Destelbergen,APARTMENT,DUPLEX,451250.0,3.0,170.0,USA_HYPER_EQUIPPED,0,0.0,1,13.0,0,0.0,0.0,2.0,0,AS_NEW
5428,Destelbergen,APARTMENT,DUPLEX,365250.0,2.0,118.0,USA_HYPER_EQUIPPED,0,0.0,1,9.0,0,0.0,0.0,2.0,0,AS_NEW
5429,Destelbergen,APARTMENT,DUPLEX,333400.0,2.0,113.0,USA_HYPER_EQUIPPED,0,0.0,1,5.0,0,0.0,0.0,2.0,0,AS_NEW
5430,Gent Mariakerke,HOUSE,HOUSE,425250.0,4.0,157.0,HYPER_EQUIPPED,0,0.0,1,14.0,1,45.0,160.0,3.0,0,UNKNOWN
5431,Gent Mariakerke,HOUSE,HOUSE,435750.0,5.0,172.0,HYPER_EQUIPPED,0,0.0,1,14.0,1,39.0,149.0,3.0,0,UNKNOWN
5432,Gent Mariakerke,HOUSE,HOUSE,441000.0,4.0,164.0,HYPER_EQUIPPED,0,0.0,1,15.0,1,175.0,288.0,3.0,0,AS_NEW
5433,Gent,APARTMENT,PENTHOUSE,1325000.0,3.0,180.0,HYPER_EQUIPPED,0,0.0,1,58.0,0,0.0,0.0,4.0,0,AS_NEW
5434,Gent,APARTMENT,APARTMENT,1295000.0,3.0,99.71322712115598,HYPER_EQUIPPED,0,0.0,1,40.0,0,0.0,0.0,0.0,0,AS_NEW
5435,Gent Sint-Amandsberg,HOUSE,HOUSE,449000.0,3.0,185.0,INSTALLED,0,0.0,1,17.0,0,0.0,0.0,2.0,0,AS_NEW
5436,Gent Sint-Amandsberg,HOUSE,HOUSE,569000.0,4.0,183.0,INSTALLED,0,0.0,1,14.0,1,242.0,153.0,3.0,0,AS_NEW
5437,Oudenaarde,APARTMENT,APARTMENT,339000.0,3.0,129.0,USA_HYPER_EQUIPPED,0,0.0,1,19.0,1,63.0,0.0,4.0,0,AS_NEW
5438,Oudenaarde,APARTMENT,APARTMENT,324000.0,2.0,90.0,USA_HYPER_EQUIPPED,0,0.0,1,26.0,0,0.0,0.0,4.0,0,AS_NEW
5439,Oudenaarde,APARTMENT,APARTMENT,329000.0,2.0,93.0,USA_HYPER_EQUIPPED,0,0.0,1,27.0,0,0.0,0.0,4.0,0,AS_NEW
5440,Oudenaarde,APARTMENT,PENTHOUSE,374000.0,3.0,121.0,USA_HYPER_EQUIPPED,0,0.0,1,12.0,0,0.0,0.0,4.0,0,AS_NEW
5441,Ninove,HOUSE,HOUSE,340000.0,3.0,176.0,INSTALLED,0,0.0,1,0.0,0,0.0,581.0,2.0,0,GOOD
5442,Meerbeke,HOUSE,HOUSE,340000.0,3.0,176.0,INSTALLED,0,0.0,1,0.0,0,0.0,581.0,2.0,0,GOOD
5443,Oud-Turnhout,HOUSE,VILLA,2075000.0,5.0,908.0,USA_HYPER_EQUIPPED,0,0.0,1,0.0,0,0.0,2985.0,4.0,1,AS_NEW
5444,Gent,HOUSE,HOUSE,272000.0,3.0,119.0,USA_INSTALLED,0,0.0,0,0.0,0,0.0,55.0,2.0,0,GOOD
5445,Wilrijk,APARTMENT,APARTMENT,210000.0,2.0,81.0,INSTALLED,0,0.0,1,9.0,0,0.0,0.0,3.0,0,GOOD
5446,Broechem,HOUSE,HOUSE,275000.0,2.0,147.0,INSTALLED,0,0.0,1,0.0,1,218.0,350.0,3.0,0,GOOD
5447,Gent,HOUSE,HOUSE,350000.0,4.0,120.0,INSTALLED,0,0.0,1,14.0,1,150.0,230.0,2.0,0,GOOD
5448,Mouscron,HOUSE,HOUSE,119000.0,3.0,145.0,NOT_INSTALLED,0,0.0,1,20.0,1,130.0,250.0,2.0,0,TO_BE_DONE_UP
5449,Mouscron,HOUSE,HOUSE,119000.0,3.0,112.0,SEMI_EQUIPPED,0,0.0,1,10.0,1,30.0,120.0,2.0,0,TO_BE_DONE_UP
5450,Tournai,HOUSE,HOUSE,229000.0,2.0,113.0,INSTALLED,0,0.0,0,0.0,1,160.0,410.0,4.0,0,GOOD
5451,Bierges,HOUSE,HOUSE,1395000.0,5.0,443.0,HYPER_EQUIPPED,0,0.0,1,60.0,1,6000.0,6468.0,4.0,1,GOOD
5452,Uccle,HOUSE,EXCEPTIONAL_PROPERTY,1990000.0,5.0,300.0,USA_HYPER_EQUIPPED,0,0.0,1,40.0,0,0.0,1184.0,4.0,1,AS_NEW
5453,Bruxelles,HOUSE,APARTMENT_BLOCK,6400000.0,27.0,1350.0,USA_HYPER_EQUIPPED,1,0.0,1,495.0,1,40.0,560.0,4.0,0,AS_NEW
5454,Niel,HOUSE,HOUSE,249000.0,2.0,127.0,INSTALLED,0,0.0,1,35.0,0,0.0,75.0,2.0,0,GOOD
5455,Gent,HOUSE,HOUSE,460000.0,3.0,138.0,NOT_DEFINED,0,0.0,1,15.0,0,0.0,0.0,2.0,0,JUST_RENOVATED
5456,Londerzeel,HOUSE,HOUSE,649000.0,5.0,348.0,INSTALLED,0,0.0,1,0.0,1,0.0,999.0,3.0,0,GOOD
5457,Uccle,HOUSE,HOUSE,795000.0,3.0,186.0,USA_HYPER_EQUIPPED,0,0.0,1,0.0,1,70.0,132.0,2.0,0,AS_NEW
5458,Lessines,HOUSE,MIXED_USE_BUILDING,120000.0,5.0,230.0,NOT_INSTALLED,0,0.0,1,10.0,1,95.0,176.0,2.0,0,TO_RENOVATE
5459,Mechelen,HOUSE,HOUSE,340000.0,3.0,165.0,SEMI_EQUIPPED,0,0.0,1,18.0,1,0.0,90.0,2.0,0,GOOD
5460,Brugge,HOUSE,HOUSE,425000.0,4.0,159.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,120.0,3.0,0,GOOD
5461,Uccle,HOUSE,HOUSE,774500.0,3.0,225.0,USA_HYPER_EQUIPPED,0,0.0,1,17.0,0,0.0,186.0,2.0,0,AS_NEW
5462,Holsbeek,HOUSE,HOUSE,799000.0,5.0,310.0,INSTALLED,0,0.0,0,0.0,1,0.0,490.0,3.0,0,UNKNOWN
5463,Aalter,HOUSE,MIXED_USE_BUILDING,925000.0,5.0,454.0,INSTALLED,0,0.0,0,0.0,1,0.0,2240.0,0.0,0,GOOD
5464,Aalter,HOUSE,HOUSE,925000.0,5.0,454.0,INSTALLED,0,0.0,0,0.0,1,0.0,2240.0,0.0,0,GOOD
5465,Ronse,HOUSE,HOUSE,155000.0,2.0,110.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,54.0,2.0,0,UNKNOWN
5466,Ittre,HOUSE,HOUSE,295000.0,3.0,144.0,NOT_DEFINED,0,0.0,1,0.0,1,400.0,400.0,2.0,0,GOOD
5467,Sinaai-Waas,HOUSE,HOUSE,425000.0,3.0,137.0,NOT_DEFINED,0,0.0,1,24.0,1,0.0,722.0,4.0,0,UNKNOWN
5468,Roosdaal Onze-Lieve-Vrouw-Lombeek,HOUSE,HOUSE,437000.0,3.0,172.0,USA_HYPER_EQUIPPED,0,0.0,1,0.0,1,96.0,0.0,3.0,0,UNKNOWN
5469,MONT-SAINT-GUIBERT,HOUSE,HOUSE,550000.0,4.0,210.0,HYPER_EQUIPPED,0,1.0,1,0.0,1,0.0,900.0,4.0,1,GOOD
5470,RHODE-SAINT-GENESE,HOUSE,HOUSE,695000.0,5.0,213.0,NOT_DEFINED,0,1.0,1,30.0,0,0.0,1553.0,4.0,0,TO_BE_DONE_UP
5471,Fontainel'Evêque,HOUSE,HOUSE,175000.0,3.0,107.0,INSTALLED,0,0.0,1,22.0,1,72.0,164.0,2.0,0,GOOD
5472,SINT-GILLIS-BIJ-DENDERMONDE,HOUSE,HOUSE,195000.0,4.0,170.0,SEMI_EQUIPPED,0,0.0,0,0.0,1,25.0,95.0,2.0,0,TO_RENOVATE
5473,Waregem,HOUSE,MANSION,269500.0,3.0,378.1074074074074,INSTALLED,0,0.0,0,0.0,0,0.0,143.0,2.0,0,GOOD
5474,Merelbeke,HOUSE,HOUSE,310000.0,4.0,178.0,USA_INSTALLED,0,0.0,1,20.0,1,150.0,236.0,2.0,0,GOOD
5475,Huy,HOUSE,HOUSE,350000.0,3.0,220.0,INSTALLED,0,0.0,1,40.0,1,82.0,390.0,2.0,0,AS_NEW
5476,Mabompré,HOUSE,HOUSE,385000.0,5.0,201.0,HYPER_EQUIPPED,0,0.0,1,30.0,1,1044.0,1246.0,4.0,1,AS_NEW
5477,Jodoigne,HOUSE,HOUSE,155000.0,3.0,110.0,NOT_DEFINED,0,0.0,1,0.0,1,0.0,480.0,2.0,0,TO_RENOVATE
5478,Westende,HOUSE,HOUSE,165000.0,2.0,54.0,INSTALLED,1,0.0,0,0.0,0,0.0,0.0,2.0,0,GOOD
5479,Oudenaarde,HOUSE,HOUSE,242500.0,3.0,200.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,130.0,2.0,0,TO_RENOVATE
5480,Ieper,HOUSE,VILLA,395000.0,5.0,208.0,HYPER_EQUIPPED,0,0.0,0,0.0,1,220.0,729.0,0.0,0,GOOD
5481,Courcelles,HOUSE,HOUSE,205000.0,3.0,150.0,INSTALLED,0,0.0,0,0.0,1,60.0,169.0,4.0,0,AS_NEW
5482,Roux,HOUSE,HOUSE,119000.0,3.0,195.89453526389536,INSTALLED,0,0.0,0,0.0,1,40.0,0.0,2.0,0,AS_NEW
5483,Gilly,HOUSE,APARTMENT_BLOCK,289000.0,6.0,350.5386996904025,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,0.0,0.0,0,GOOD
5484,Drosia,APARTMENT,APARTMENT,230000.0,2.0,80.0,NOT_DEFINED,1,0.0,0,0.0,0,0.0,0.0,0.0,0,AS_NEW
5485,Pagkrati,APARTMENT,APARTMENT,250000.0,2.0,100.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,0.0,0.0,0,GOOD
5486,Xilokastro,HOUSE,HOUSE,490000.0,4.0,240.0,NOT_DEFINED,1,1.0,0,0.0,0,0.0,0.0,0.0,0,AS_NEW
5487,Péronnes-lez-Binche,HOUSE,HOUSE,119000.0,3.0,145.0,INSTALLED,0,0.0,0,0.0,1,273.0,360.0,2.0,0,GOOD
5488,Amay,APARTMENT,APARTMENT,169000.0,2.0,82.0,SEMI_EQUIPPED,0,0.0,0,0.0,1,530.0,0.0,3.0,0,GOOD
5489,Schelle,HOUSE,VILLA,898000.0,4.0,323.0,HYPER_EQUIPPED,0,0.0,1,0.0,1,800.0,1266.0,4.0,0,UNKNOWN
5490,Liège,HOUSE,HOUSE,199000.0,3.0,280.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,100.0,2.0,0,UNKNOWN
5491,Liège,HOUSE,APARTMENT_BLOCK,215000.0,6.0,280.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,79.0,2.0,0,UNKNOWN
5492,Liège,HOUSE,HOUSE,215000.0,6.0,280.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,79.0,2.0,0,UNKNOWN
5493,Liège,HOUSE,APARTMENT_BLOCK,199000.0,0.0,280.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,100.0,2.0,0,UNKNOWN
5494,Cheratte,APARTMENT,APARTMENT,299900.0,9.0,420.0,NOT_INSTALLED,0,0.0,1,30.0,0,0.0,0.0,0.0,0,UNKNOWN
5495,Waregem,APARTMENT,APARTMENT,550000.0,3.0,99.71322712115598,INSTALLED,0,0.0,0,0.0,1,0.0,0.0,2.0,0,UNKNOWN
5496,Oostakker,HOUSE,HOUSE,430000.0,3.0,193.0,INSTALLED,0,0.0,1,0.0,1,0.0,316.0,2.0,0,UNKNOWN
5497,OOSTNIEUWKERKE,HOUSE,HOUSE,195000.0,4.0,164.0,NOT_DEFINED,0,0.0,0,0.0,1,0.0,596.0,3.0,0,TO_RENOVATE
5498,Tervuren,APARTMENT,APARTMENT,209000.0,1.0,80.0,USA_SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,0.0,3.0,0,GOOD
5499,Dendermonde,HOUSE,MIXED_USE_BUILDING,599000.0,4.0,378.0,INSTALLED,0,0.0,0,0.0,1,0.0,571.0,3.0,0,TO_BE_DONE_UP
5500,Herentals,HOUSE,HOUSE,340000.0,4.0,202.0,INSTALLED,0,1.0,1,20.0,1,96.0,197.0,2.0,0,UNKNOWN
5501,VIERSEL,HOUSE,VILLA,849000.0,4.0,447.0,INSTALLED,0,1.0,1,35.0,1,2904.0,3185.0,4.0,0,GOOD
5502,Dendermonde,HOUSE,HOUSE,599000.0,4.0,378.0,INSTALLED,0,0.0,0,0.0,1,0.0,571.0,3.0,0,TO_BE_DONE_UP
5503,Antwerp,APARTMENT,LOFT,419000.0,2.0,130.0,HYPER_EQUIPPED,0,0.0,1,15.0,1,0.0,0.0,3.0,0,JUST_RENOVATED
5504,Heist-op-den-Berg,HOUSE,HOUSE,319000.0,3.0,160.0,INSTALLED,0,0.0,0,0.0,1,0.0,432.0,3.0,0,UNKNOWN
5505,Schaerbeek,APARTMENT,APARTMENT,460000.0,3.0,159.0,INSTALLED,0,0.0,1,5.0,0,0.0,0.0,2.0,0,UNKNOWN
5506,LANQUESAINT,HOUSE,HOUSE,570000.0,3.0,120.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,5672.0,2.0,0,UNKNOWN
5507,Avelgem,HOUSE,HOUSE,185000.0,1.0,95.0,INSTALLED,0,0.0,0,0.0,1,0.0,0.0,3.0,0,GOOD
5508,Geraardsbergen,HOUSE,HOUSE,149000.0,3.0,305.0,NOT_INSTALLED,0,0.0,0,0.0,1,0.0,228.0,2.0,0,TO_RENOVATE
5509,Edegem,HOUSE,HOUSE,419000.0,5.0,193.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,330.0,3.0,0,TO_RENOVATE
5510,Molenbeek-Saint-Jean,HOUSE,APARTMENT_BLOCK,599000.0,5.0,300.0,HYPER_EQUIPPED,0,0.0,1,5.0,0,0.0,0.0,2.0,0,AS_NEW
5511,Uccle,HOUSE,VILLA,1695000.0,4.0,405.0,INSTALLED,0,0.0,0,0.0,1,350.0,800.0,3.0,0,GOOD
5512,SINT-MARTENS-LATEM,HOUSE,VILLA,1900000.0,5.0,252.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,2672.0,4.0,0,TO_RENOVATE
5513,Flémalle Awirs,HOUSE,EXCEPTIONAL_PROPERTY,1940000.0,7.0,550.0,INSTALLED,0,0.0,1,0.0,1,33000.0,33000.0,4.0,1,AS_NEW
5514,Rixensart,HOUSE,HOUSE,1950000.0,5.0,502.0,USA_HYPER_EQUIPPED,0,0.0,1,0.0,0,0.0,1217.0,4.0,0,AS_NEW
5515,Antwerp,HOUSE,MANSION,2450000.0,5.0,613.0,HYPER_EQUIPPED,0,0.0,1,15.0,1,60.0,258.0,2.0,0,AS_NEW
5516,Ieper Zillebeke,HOUSE,CHALET,2500000.0,16.0,750.0,USA_HYPER_EQUIPPED,0,0.0,1,0.0,0,0.0,1039.0,4.0,0,AS_NEW
5517,Schoten,HOUSE,EXCEPTIONAL_PROPERTY,2595000.0,5.0,811.0,INSTALLED,0,0.0,0,0.0,1,0.0,9100.0,4.0,0,AS_NEW
5518,Knokke-Heist,HOUSE,EXCEPTIONAL_PROPERTY,3890000.0,4.0,589.0,USA_HYPER_EQUIPPED,0,0.0,1,0.0,1,1389.0,1389.0,4.0,1,AS_NEW
5519,Fosses-la-Ville,HOUSE,HOUSE,265000.0,3.0,122.0,NOT_DEFINED,0,0.0,0,0.0,1,810.0,880.0,4.0,0,UNKNOWN
5520,Tienen,HOUSE,HOUSE,315000.0,3.0,140.0,HYPER_EQUIPPED,0,0.0,0,0.0,0,0.0,127.0,0.0,0,AS_NEW
5521,Wommelgem,HOUSE,HOUSE,395000.0,3.0,180.0,NOT_INSTALLED,0,0.0,1,0.0,1,640.0,640.0,3.0,0,TO_RENOVATE
5522,Hoboken,HOUSE,HOUSE,595000.0,4.0,190.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,333.0,3.0,0,AS_NEW
5523,Gistel,HOUSE,VILLA,1245000.0,3.0,642.0,INSTALLED,0,0.0,1,0.0,1,0.0,5924.0,0.0,0,GOOD
5524,Hoboken,HOUSE,HOUSE,319000.0,4.0,244.0,NOT_DEFINED,0,0.0,0,0.0,1,45.0,165.0,2.0,0,GOOD
5525,Warsage,HOUSE,HOUSE,349000.0,4.0,148.0,INSTALLED,0,0.0,1,50.0,1,667.0,799.0,4.0,1,GOOD
5526,Ronse,HOUSE,HOUSE,429000.0,5.0,400.0,INSTALLED,0,1.0,0,0.0,1,0.0,340.0,2.0,0,GOOD
5527,Uccle,HOUSE,HOUSE,525000.0,4.0,160.0,INSTALLED,0,0.0,1,45.0,0,0.0,130.0,2.0,0,TO_RENOVATE
5528,Kapellen,HOUSE,VILLA,735000.0,3.0,250.0,INSTALLED,0,0.0,0,0.0,0,0.0,1545.0,4.0,0,AS_NEW
5529,Waterloo,HOUSE,VILLA,895000.0,6.0,333.0,HYPER_EQUIPPED,0,0.0,1,0.0,1,881.0,881.0,4.0,0,AS_NEW
5530,Affligem,HOUSE,VILLA,975000.0,5.0,380.0,NOT_DEFINED,0,1.0,1,0.0,0,0.0,2840.0,4.0,1,GOOD
5531,Lede,HOUSE,HOUSE,515000.0,4.0,220.0,HYPER_EQUIPPED,0,0.0,1,0.0,1,0.0,350.0,3.0,0,AS_NEW
5532,Ronse,HOUSE,HOUSE,180000.0,3.0,125.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,150.0,2.0,0,TO_BE_DONE_UP
5533,Erpe-Mere,HOUSE,HOUSE,219000.0,2.0,130.0,INSTALLED,0,0.0,1,0.0,0,0.0,600.0,3.0,0,TO_RENOVATE
5534,La Louviere,HOUSE,HOUSE,235000.0,3.0,149.0,HYPER_EQUIPPED,0,0.0,1,16.0,1,206.0,338.0,3.0,0,AS_NEW
5535,Avelgem,HOUSE,MIXED_USE_BUILDING,275000.0,3.0,320.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,195.0,0.0,0,GOOD
5536,Avelgem,HOUSE,HOUSE,275000.0,3.0,320.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,195.0,0.0,0,GOOD
5537,FRASNES-LEZ - BUISSENAL,HOUSE,MIXED_USE_BUILDING,285000.0,3.0,320.0,INSTALLED,0,0.0,0,0.0,0,0.0,208.0,2.0,0,GOOD
5538,Overijse,HOUSE,HOUSE,289000.0,3.0,149.0,NOT_DEFINED,0,0.0,0,0.0,1,650.0,870.0,3.0,1,TO_RENOVATE
5539,Avelgem,HOUSE,COUNTRY_COTTAGE,295000.0,2.0,600.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,877.0,4.0,0,TO_RENOVATE
5540,Gijzegem,HOUSE,TOWN_HOUSE,299000.0,3.0,137.0,INSTALLED,0,0.0,1,0.0,0,0.0,141.0,2.0,0,GOOD
5541,Beerse,HOUSE,VILLA,550000.0,6.0,336.0,SEMI_EQUIPPED,0,1.0,1,20.0,1,1150.0,1182.0,4.0,0,TO_BE_DONE_UP
5542,Herentals,HOUSE,VILLA,490000.0,3.0,179.0,INSTALLED,0,1.0,1,77.0,1,680.0,1439.0,4.0,1,GOOD
5543,Kortenberg,HOUSE,VILLA,650000.0,5.0,289.6942604856512,HYPER_EQUIPPED,0,0.0,1,30.0,1,800.0,946.0,4.0,0,AS_NEW
5544,Tessenderlo,APARTMENT,PENTHOUSE,379000.0,2.0,130.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,0.0,2.0,0,UNKNOWN
5545,Namur Champion,HOUSE,HOUSE,260000.0,3.0,155.0,INSTALLED,0,0.0,1,0.0,1,9.0,967.0,4.0,0,GOOD
5546,Bouge,HOUSE,HOUSE,319000.0,3.0,142.0,INSTALLED,0,0.0,1,20.0,1,440.0,440.0,2.0,0,GOOD
5547,Namur,APARTMENT,APARTMENT,98000.0,2.0,70.0,NOT_INSTALLED,1,0.0,0,0.0,0,0.0,0.0,3.0,0,TO_RENOVATE
5548,Oostende,HOUSE,HOUSE,450000.0,4.0,195.89453526389536,NOT_DEFINED,0,0.0,1,0.0,0,0.0,1047.0,4.0,0,GOOD
5549,Waterloo,HOUSE,VILLA,695000.0,5.0,200.0,INSTALLED,0,0.0,1,24.0,0,0.0,785.0,4.0,0,AS_NEW
5550,Braine-l'Alleud,APARTMENT,DUPLEX,245000.0,1.0,87.0,INSTALLED,0,0.0,1,3.0,0,0.0,0.0,2.0,0,GOOD
5551,Opwijk,HOUSE,HOUSE,349000.0,3.0,180.0,HYPER_EQUIPPED,0,0.0,1,0.0,0,0.0,1865.0,3.0,0,GOOD
5552,Sint-Agatha-Berchem,HOUSE,APARTMENT_BLOCK,665000.0,6.0,349.0,INSTALLED,0,0.0,1,16.0,1,60.0,0.0,2.0,0,GOOD
5553,Brasschaat,HOUSE,VILLA,1195000.0,5.0,288.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,2216.0,4.0,0,UNKNOWN
5554,Leuven,APARTMENT,FLAT_STUDIO,395000.0,1.0,43.0,USA_INSTALLED,1,0.0,1,9.0,0,0.0,0.0,2.0,0,AS_NEW
5555,Leuven,APARTMENT,FLAT_STUDIO,285000.0,1.0,33.0,USA_INSTALLED,1,0.0,0,0.0,0,0.0,0.0,2.0,0,AS_NEW
5556,Herent,APARTMENT,APARTMENT,398000.0,2.0,90.0,HYPER_EQUIPPED,0,0.0,1,18.0,0,0.0,0.0,4.0,0,AS_NEW
5557,Uccle,APARTMENT,APARTMENT,235000.0,1.0,70.0,NOT_INSTALLED,0,0.0,1,4.0,0,0.0,0.0,0.0,0,GOOD
5558,Honnelles Angre,HOUSE,HOUSE,300000.0,2.0,137.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,17086.0,3.0,0,TO_BE_DONE_UP
5559,Uccle,APARTMENT,APARTMENT,325000.0,3.0,118.0,SEMI_EQUIPPED,0,0.0,1,17.0,0,0.0,0.0,2.0,0,TO_RENOVATE
5560,Uccle,APARTMENT,APARTMENT,415000.0,3.0,120.0,NOT_DEFINED,0,0.0,1,13.0,0,0.0,0.0,3.0,0,AS_NEW
5561,Antwerp,APARTMENT,APARTMENT,400000.0,2.0,106.0,NOT_DEFINED,0,0.0,1,19.0,0,0.0,0.0,0.0,0,AS_NEW
5562,Antwerp,APARTMENT,DUPLEX,469000.0,2.0,115.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,0.0,3.0,0,GOOD
5563,Ottignies-Louvain-la-Neuve,HOUSE,MIXED_USE_BUILDING,795000.0,3.0,509.0,HYPER_EQUIPPED,0,0.0,1,15.0,1,200.0,639.0,4.0,0,GOOD
5564,Binche,HOUSE,HOUSE,170000.0,2.0,195.89453526389536,INSTALLED,0,0.0,1,0.0,0,0.0,181.0,2.0,0,GOOD
5565,Sambreville Arsimont,APARTMENT,APARTMENT,150000.0,1.0,74.0,USA_SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,0.0,3.0,0,TO_BE_DONE_UP
5566,Mouscron,HOUSE,VILLA,389000.0,4.0,163.0,INSTALLED,0,0.0,1,28.0,1,380.0,603.0,4.0,0,GOOD
5567,Mouscron,HOUSE,HOUSE,209000.0,2.0,165.0,INSTALLED,0,0.0,1,36.0,1,220.0,367.0,2.0,0,AS_NEW
5568,Uccle,APARTMENT,APARTMENT,1245000.0,3.0,163.0,USA_HYPER_EQUIPPED,0,0.0,1,28.0,0,0.0,0.0,2.0,0,AS_NEW
5569,Uccle,APARTMENT,DUPLEX,1350000.0,3.0,163.0,USA_HYPER_EQUIPPED,0,0.0,1,28.0,1,250.0,0.0,2.0,0,AS_NEW
